5U4Y,PDN11,PDN12,PDN13,PDN14,PDN15,PDN16,PDN17,PDN18,PDN19,PDN20,PDN21,PDN22,PDN23,PDN24
-110.23393,-105.4090519,-97.18817,-102.8619509,0.986041408,-101.34317,-113.6135433,-95.97231,-98.86555508,-1.52763,-9.877271746,-86.50969866,-95.09739442,-104.8483829,-112.0484092
-100.16436,-101.8432004,-89.22352,-96.9088708,-84.40661221,-95.16222,-102.8526464,-4.35302,-105.4827942,4.04481,2.998525517,-89.17011589,-109.1381319,-101.930866,-109.7812233
-100.24664,-93.49774696,-93.18483,-101.7392866,-104.1017945,-92.13233,-123.3979463,-89.75462,-116.8172133,1.20408,-4.267393459,-78.38827462,-95.15290337,-104.4272685,-112.0236298
0.759,-105.9898856,-88.45822,-90.5209345,-89.88361754,-104.36198,-102.4029418,-84.3411,-5.43378446,0.8102,-110.105696,-89.65961268,-99.6085457,-107.6941984,-109.4052359
0.3579,-101.7383577,-97.4389,-94.13324991,-91.06949844,-88.60022,-103.8244117,-96.11644,-100.8376641,3.18533,-96.99151483,-95.39012848,-101.302649,-111.6074761,-106.8814694
1.33586,-97.01223494,-94.78805,-76.2761111,-111.8798634,-77.9084,-98.2168146,-93.64161,-112.3933959,-2.80467,-93.98965967,-91.33830101,-106.0379905,-113.2334173,-122.0030309
-1.26915,-89.28103454,-102.90131,-91.00664288,-104.1068981,-84.03103,-104.4448561,-95.73429,-101.8138216,-0.01046,-97.85548433,-2.295163551,-96.85543791,-96.13719427,-95.15801607
-107.70095,0.645247985,-10.17639,-89.16619974,-84.30037082,-86.07663,3.198394695,-99.94929,-101.8737653,1.14008,-106.6241747,-98.89656113,-115.2130355,-2.964807408,-98.0116441
-106.58487,1.956568494,3.62971,-100.3164029,-105.2657236,-84.21905,1.616991704,-107.30118,-112.767764,-2.85553,-98.30982574,-83.92677786,-108.5844973,-5.147009788,-99.10138007
-102.93611,-3.049255392,-9.28196,-99.7524571,-97.19018718,-88.53896,-96.06314457,-93.75519,-111.2619075,-1.67805,-3.819227225,-89.54213569,-106.7224167,0.434745386,-1.077057434
-107.27125,-1.721457662,-6.03882,-90.19392025,-110.3154767,-85.77984,-109.923078,-89.56119,-111.0054602,1.33055,-7.857283414,-102.8065469,-111.1405865,-3.151526348,1.793434366
-108.73907,2.399087385,-86.48525,-94.03498502,-87.23779276,-2.58745,2.171773633,-82.05928,-111.9427935,-105.54965,-11.72113399,3.067580143,-104.4880058,-5.584939516,-1.444969075
-115.29704,0.210424814,-89.66097,-89.45967427,-83.37055818,-4.7493,0.128136608,-95.83229,-111.7000225,-99.0283,-102.8748207,-8.365358961,-100.9057557,-6.67793528,0.558548776
-0.4806,1.077812444,-93.51162,-92.72059297,-104.4526801,-91.62225,-116.2791727,-91.42168,-101.235074,-101.24964,-118.4527222,-101.1937416,-105.9157819,-3.288545594,-92.8479941
2.52353,-0.525074721,-91.97221,-91.54026342,-100.5900807,-75.0301,-108.3653366,-89.40685,-101.7596987,-0.24953,-118.8534907,-99.64431343,-107.1930771,-104.798911,-1.362028062
0.69981,-3.991574262,-90.96652,-91.04346272,6.413585683,-85.4435,-107.8664515,-80.2874,-112.2709087,1.91714,-98.37188914,-99.11047769,-95.21800255,-106.3113547,-3.424262311
2.76179,-0.615216435,-100.37621,-91.65128931,-4.228469982,-88.17298,-110.6282373,-89.79135,-102.7679243,-2.5601,-117.8989747,-92.15487382,-109.4546718,-105.866275,-3.190351867
